"price" "beds" "living" "baths" "sqmt" "epc" "tax" "date" "link" "house" "lat" "lon" "rooms" "commute_time" "commute_time_minutes" "expect" "low" "upp" "diffn" "diff" "over" "low1" "upp1" "low2" "upp2"
825 2 1 2 61 "c" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/425634/Flat-5--2a-Deemount-Terrace/Aberdeen/" "Flat 5, 2a Deemount Terrace" 57.1335653624637 -2.10251983374445 3 3884 64.7333333333333 749.871468062472 660 818 86 "86" "Overpriced" 638.512461114703 1011.4875388853 452.024922229407 1197.97507777059
550 1 1 1 32 "e" "a" 2024-07-07 "https://www.aspc.co.uk/search/property/425438/33-Hartington-Road/Aberdeen/" "33 Hartington Road" 57.1406725352558 -2.12403872883514 2 3685 61.4166666666667 570.282881675281 375 640 42 "42" "Fairly priced" 363.512461114703 736.487538885297 177.024922229407 922.975077770593
500 1 1 1 54 "d" "b" 2024-07-07 "https://www.aspc.co.uk/search/property/425434/38b-Charlotte-Street/Aberdeen/" "38b Charlotte Street" 57.1507728191419 -2.10408588343409 2 1905 31.75 537.976620149064 422 635 -28 "-28" "Fairly priced" 313.512461114703 686.487538885297 127.024922229407 872.975077770593
1400 3 1 2 133 "e" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/426515/41-Albury-Place/Aberdeen/" "41 Albury Place" 57.1382948015997 -2.10683115153567 4 3426 57.1 1172.36917128674 978 1290 266 "266" "Overpriced" 1213.5124611147 1586.4875388853 1027.02492222941 1772.97507777059
1600 3 2 1 134 "c" "f" 2024-07-16 "https://www.aspc.co.uk/search/property/426491/3-Cairn-Crescent/Aberdeen/" "3 Cairn Crescent" 57.1156331676224 -2.19412772883514 5 8328 138.8 1329.00455215781 1178 1431 295 "295" "Overpriced" 1413.5124611147 1786.4875388853 1227.02492222941 1972.97507777059
750 2 1 1 67 "c" "c" 2024-07-16 "https://www.aspc.co.uk/search/property/426465/TFR--20-Esslemont-Avenue/Aberdeen/" "TFR, 20 Esslemont Avenue" 57.1479256355874 -2.114009 3 2499 41.65 822.32106458774 706 881 -43 "-43" "Fairly priced" 563.512461114703 936.487538885297 377.024922229407 1122.97507777059
1350 3 1 2 84 "c" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/426405/3-Brockwood-Place/Aberdeen/" "3 Brockwood Place" 57.2106050027337 -2.29046776380491 4 11308 188.466666666667 1159.71788447705 1064 1287 175 "175" "Overpriced" 1163.5124611147 1536.4875388853 977.024922229407 1722.97507777059
595 1 1 1 40 "d" "a" 2024-07-16 "https://www.aspc.co.uk/search/property/426387/GFR--278-Union-Grove/Aberdeen/" "GFR, 278 Union Grove" 57.1390582734503 -2.12778868220878 2 3878 64.6333333333333 503.100573563802 364 566 130 "130" "Overpriced" 408.512461114703 781.487538885297 222.024922229407 967.975077770593
525 1 1 1 40 "d" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/426385/80-Fonthill-Road/Aberdeen/" "80 Fonthill Road" 57.1374680879093 -2.11244005828294 2 3576 59.6 549.884751783332 428 635 -7 "-7" "Fairly priced" 338.512461114703 711.487538885297 152.024922229407 897.975077770593
675 2 1 1 54 "c" "c" 2024-07-16 "https://www.aspc.co.uk/search/property/426383/49-Picktillum-Avenue/Aberdeen/" "49 Picktillum Avenue" 57.1622658186682 -2.11818536441757 3 1102 18.3666666666667 814.692893444389 705 888 -122 "-122" "Underpriced" 488.512461114703 861.487538885297 302.024922229407 1047.97507777059
800 2 1 1 73 "c" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/426382/130D-Balmoral-Square--Great-Western-Road/Aberdeen/" "130D Balmoral Square, Great Western Road" 57.1381330856257 -2.11883676380491 3 3573 59.55 988.558324423297 883 1096 -189 "-189" "Underpriced" 613.512461114703 986.487538885297 427.024922229407 1172.97507777059
750 2 1 1 49 "c" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/426376/71-Kirk-Brae/Aberdeen/" "71 Kirk Brae" 57.1207897089337 -2.18088781043127 3 7292 121.533333333333 837.427809146624 698 879 -39 "-39" "Fairly priced" 563.512461114703 936.487538885297 377.024922229407 1122.97507777059
1450 4 2 2 131 "e" "f" 2024-07-16 "https://www.aspc.co.uk/search/property/426309/10-Gordon-Terrace/Aberdeen/" "10 Gordon Terrace" 57.2057292711555 -2.18835335276098 6 6694 111.566666666667 1473.13498075713 1301 1627 -14 "-14" "Fairly priced" 1263.5124611147 1636.4875388853 1077.02492222941 1822.97507777059
550 1 1 1 52 "c" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/426288/40-Linksfield-Gardens/Aberdeen/" "40 Linksfield Gardens" 57.1619536366881 -2.09572836441757 2 1225 20.4166666666667 599.792413111075 506 693 -49 "-49" "Fairly priced" 363.512461114703 736.487538885297 177.024922229407 922.975077770593
1200 3 2 1 100 "d" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/425775/Avondale--19-Forbes-Street/Aberdeen/" "Avondale, 19 Forbes Street" 57.1514812720939 -2.11191869386538 5 1997 33.2833333333333 1298.86006245914 1152 1427 -89 "-89" "Fairly priced" 1013.5124611147 1386.4875388853 827.024922229407 1572.97507777059
1100 3 2 2 89 "c" "f" 2024-07-16 "https://www.aspc.co.uk/search/property/425510/14-Callum-Wynd/Aberdeen/" "14 Callum Wynd" 57.1595759092113 -2.22846636441757 5 7763 129.383333333333 1325.29509105655 1176 1455 -216 "-216" "Underpriced" 913.512461114703 1286.4875388853 727.024922229407 1472.97507777059
595 1 1 1 48 "c" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/425433/29-Wallfield-Place/Aberdeen/" "29 Wallfield Place" 57.1482763643902 -2.12059743435711 2 2653 44.2166666666667 615.685432860122 509 692 -5 "-5" "Fairly priced" 408.512461114703 781.487538885297 222.024922229407 967.975077770593
525 1 1 1 30 "d" "a" 2024-07-16 "https://www.aspc.co.uk/search/property/425288/Second-Floor-Left--10c-King-Street/Aberdeen/" "Second Floor Left, 10c King Street" 57.148516181875 -2.09317799999999 2 2316 38.6 491.482333624183 366 569 57 "57" "Fairly priced" 338.512461114703 711.487538885297 152.024922229407 897.975077770593
700 2 1 1 61 "c" "c" 2024-07-16 "https://www.aspc.co.uk/search/property/425234/25b-Cairnfield-Place/Aberdeen/" "25b Cairnfield Place" 57.1752983643102 -2.16497096503022 3 3516 58.6 819.100399516892 706 884 -95 "-95" "Underpriced" 513.512461114703 886.487538885297 327.024922229407 1072.97507777059
995 3 1 2 122 "c" "f" 2024-07-16 "https://www.aspc.co.uk/search/property/425222/14-Elmhill-House--Shaw-Crescent/Aberdeen/" "14 Elmhill House, Shaw Crescent" 57.1570458158871 -2.12350128282144 4 1757 29.2833333333333 1102.5796665615 981 1257 -124 "-124" "Fairly priced" 808.512461114703 1181.4875388853 622.024922229407 1367.97507777059
1350 3 1 2 98 "c" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/425153/14-Brooke-Rise/Aberdeen/" "14 Brooke Rise" 57.1490351782934 -2.21678505828306 4 7083 118.05 1197.12604209013 1065 1279 178 "178" "Overpriced" 1163.5124611147 1536.4875388853 977.024922229407 1722.97507777059
725 2 1 1 50 "c" "d" 2024-07-16 "https://www.aspc.co.uk/search/property/425122/67-Bloomfield-Court/Aberdeen/" "67 Bloomfield Court" 57.1352711645156 -2.1120824257638 3 3777 62.95 752.009022050782 662 821 -17 "-17" "Fairly priced" 538.512461114703 911.487538885297 352.024922229407 1097.97507777059
475 1 1 1 46 "d" "a" 2024-07-16 "https://www.aspc.co.uk/search/property/425116/33-Ashgrove-Gardens-South/Aberdeen/" "33 Ashgrove Gardens South" 57.1570621811829 -2.14235972883514 2 2596 43.2666666666667 495.67844871813 361 567 11 "11" "Fairly priced" 288.512461114703 661.487538885297 102.024922229407 847.975077770593
900 2 2 2 124 "e" "f" 2024-07-16 "https://www.aspc.co.uk/search/property/425064/3-Abbotsford-Place/Aberdeen/" "3 Abbotsford Place" 57.1378729868025 -2.10299501165659 4 3444 57.4 1106.77126333698 919 1258 -189 "-189" "Underpriced" 713.512461114703 1086.4875388853 527.024922229407 1272.97507777059
800 2 1 1 68 "c" "d" 2024-07-16 "https://www.aspc.co.uk/search/property/425043/15-Laurel-Avenue/Aberdeen/" "15 Laurel Avenue" 57.179627643963 -2.12875835276098 3 1805 30.0833333333333 721.786002760251 655 820 63 "63" "Fairly priced" 613.512461114703 986.487538885297 427.024922229407 1172.97507777059
975 4 2 1 109 "c" "d" 2024-07-16 "https://www.aspc.co.uk/search/property/425039/81-Sunnyside-Road/Aberdeen/" "81 Sunnyside Road" 57.1610011819144 -2.10685269386537 6 797 13.2833333333333 1318.86070822504 1152 1435 -318 "-318" "Underpriced" 788.512461114703 1161.4875388853 602.024922229407 1347.97507777059
750 2 1 1 67 "c" "c" 2024-07-16 "https://www.aspc.co.uk/search/property/424979/86B-Middlefield-Place/Aberdeen/" "86B Middlefield Place" 57.1689171798618 -2.13831769386537 3 2190 36.5 814.137569688321 706 881 -43 "-43" "Fairly priced" 563.512461114703 936.487538885297 377.024922229407 1122.97507777059
600 2 1 1 72 "d" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/424961/44-Overhill-Gardens/Aberdeen/" "44 Overhill Gardens" 57.1833010012565 -2.11451339938734 3 2437 40.6166666666667 708.793172312961 615 810 -113 "-113" "Underpriced" 413.512461114703 786.487538885297 227.024922229407 972.975077770593
800 2 1 1 62 "b" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/424939/154D-Gray-Street/Aberdeen/" "154D Gray Street" 57.1308229098098 -2.11764169386537 3 4127 68.7833333333333 1163.77283844682 999 1304 -352 "-352" "Underpriced" 613.512461114703 986.487538885297 427.024922229407 1172.97507777059
650 2 1 1 57 "d" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/424912/4B-Urquhart-Street/Aberdeen/" "4B Urquhart Street" 57.1551317255023 -2.09082101165659 3 1877 31.2833333333333 730.02443551565 617 815 -66 "-66" "Fairly priced" 463.512461114703 836.487538885297 277.024922229407 1022.97507777059
900 2 1 2 65 "c" "c" 2024-07-16 "https://www.aspc.co.uk/search/property/424743/69-Mearns-Street/Aberdeen/" "69 Mearns Street" 57.1466301804307 -2.08939122453844 3 2611 43.5166666666667 819.361207321305 706 882 106 "106" "Overpriced" 713.512461114703 1086.4875388853 527.024922229407 1272.97507777059
1500 5 3 3 250 "c" "g" 2024-07-16 "https://www.aspc.co.uk/search/property/424656/3-McKays-Park/Aberdeen/" "3 McKay's Park" 57.2588960053476 -2.08636867055219 8 9970 166.166666666667 2155.67111564583 1905 2349 -627 "-627" "Underpriced" 1313.5124611147 1686.4875388853 1127.02492222941 1872.97507777059
600 1 1 1 56 "d" "a" 2024-07-16 "https://www.aspc.co.uk/search/property/424261/9-Summer-Place/Aberdeen/" "9 Summer Place" 57.2039495495545 -2.19048696503023 2 6515 108.583333333333 470.783653267366 352 571 139 "139" "Overpriced" 413.512461114703 786.487538885297 227.024922229407 972.975077770593
595 2 1 1 41 "d" "a" 2024-07-16 "https://www.aspc.co.uk/search/property/424167/29-Gladstone-Place/Aberdeen/" "29 Gladstone Place" 57.1718269164388 -2.12546079877468 3 1430 23.8333333333333 676.842167616706 543 764 -58 "-58" "Fairly priced" 408.512461114703 781.487538885297 222.024922229407 967.975077770593
1800 3 1 2 91 "c" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/370602/18a-Golden-Square/Aberdeen/" "18a Golden Square" 57.1458126369945 -2.10571659754937 4 2607 43.45 1003.52600111351 870 1064 833 "833" "Overpriced" 1613.5124611147 1986.4875388853 1427.02492222941 2172.97507777059
750 2 1 2 60 "c" "d" 2024-07-20 "https://www.aspc.co.uk/search/property/426516/188-Merkland-Lane/Aberdeen/" "188 Merkland Lane" 57.1583193637483 -2.08958005828295 3 1678 27.9666666666667 731.725305123295 660 818 11 "11" "Fairly priced" 563.512461114703 936.487538885297 377.024922229407 1122.97507777059
875 2 1 2 71 "b" "d" 2024-07-20 "https://www.aspc.co.uk/search/property/426517/7-Midstocket-View/Aberdeen/" "7 Midstocket View" 57.1511820916521 -2.1498703294478 3 3424 57.0666666666667 920.719007364474 787 1005 -21 "-21" "Fairly priced" 688.512461114703 1061.4875388853 502.024922229407 1247.97507777059
1200 3 1 1 100 "c" "f" 2024-07-20 "https://www.aspc.co.uk/search/property/426549/84-Burnieboozle-Crescent/Aberdeen/" "84 Burnieboozle Crescent" 57.1358461819372 -2.16458534110439 4 5520 92 1128.84618018725 997 1252 76 "76" "Fairly priced" 1013.5124611147 1386.4875388853 827.024922229407 1572.97507777059
675 2 1 1 58 "c" "c" 2024-07-20 "https://www.aspc.co.uk/search/property/426550/40-Mineralwell-View/Stonehaven/" "40 Mineralwell View" 56.9723727208198 -2.2141313294478 3 20953 349.216666666667 818.326323923674 706 885 -121 "-121" "Underpriced" 488.512461114703 861.487538885297 302.024922229407 1047.97507777059
925 2 1 2 88 "d" "e" 2024-07-20 "https://www.aspc.co.uk/search/property/426554/3-Caledonian-Court/Aberdeen/" "3 Caledonian Court" 57.1391829966119 -2.102129 3 3283 54.7166666666667 911.2789608038 795 1035 10 "10" "Fairly priced" 738.512461114703 1111.4875388853 552.024922229407 1297.97507777059
425 1 0 1 27 "g" "a" 2024-07-20 "https://www.aspc.co.uk/search/property/426581/Top-Floor-Left--11-Commerce-Street/Aberdeen/" "Top Floor Left, 11 Commerce Street" 57.1470418167088 -2.08765938773075 1 2592 43.2 333.196248124889 74 613 81 "81" "Fairly priced" 238.512461114703 611.487538885297 52.0249222294069 797.975077770593
1900 4 2 2 186 "b" "g" 2024-07-20 "https://www.aspc.co.uk/search/property/426584/3-Sleigh-Park/Inverurie/" "3 Sleigh Park" 57.341084562381 -2.42004502331318 6 26219 436.983333333333 1944.31840747793 1708 2143 -25 "-25" "Fairly priced" 1713.5124611147 2086.4875388853 1527.02492222941 2272.97507777059
650 2 1 1 66 "d" "d" 2024-07-20 "https://www.aspc.co.uk/search/property/426588/134-Oldcroft-Place/Aberdeen/" "134 Oldcroft Place" 57.157625909151 -2.14568967055219 3 2743 45.7166666666667 674.153287004024 565 770 -17 "-17" "Fairly priced" 463.512461114703 836.487538885297 277.024922229407 1022.97507777059
850 2 1 2 84 "b" "d" 2024-07-20 "https://www.aspc.co.uk/search/property/426600/84-Burnside-Road/Aberdeen/" "84 Burnside Road" 57.1994791901521 -2.18170006993954 3 6162 102.7 890.741419851697 782 1005 -43 "-43" "Fairly priced" 663.512461114703 1036.4875388853 477.024922229407 1222.97507777059
800 2 1 1 58 "c" "d" 2024-07-20 "https://www.aspc.co.uk/search/property/426621/7-Wellside-Circle/Aberdeen/" "7 Wellside Circle" 57.1596940907994 -2.21201564417573 3 6936 115.6 760.519625318539 661 819 60 "60" "Fairly priced" 613.512461114703 986.487538885297 427.024922229407 1172.97507777059
1000 2 1 2 81 "b" "d" 2024-07-20 "https://www.aspc.co.uk/search/property/426630/31-May-Baird-Gardens/Aberdeen/" "31 May Baird Gardens" 57.1565000908213 -2.12088536441757 3 1740 29 906.940930478641 783 1004 106 "106" "Fairly priced" 813.512461114703 1186.4875388853 627.024922229407 1372.97507777059
900 2 1 2 88 "b" "d" 2024-07-20 "https://www.aspc.co.uk/search/property/426635/6-Persley-Den-Gardens/Aberdeen/" "6 Persley Den Gardens" 57.1757655690325 -2.14253435276098 3 2859 47.65 897.785097382276 779 1006 8 "8" "Fairly priced" 713.512461114703 1086.4875388853 527.024922229407 1272.97507777059
